filename,d(vresi),t(vresi),d(vmesi),t(vmesi),d(vreis),t(vreis),d(vmeis),t(vmeis),d(presi),t(presi),d(pmesi),t(pmesi),d(preis),t(preis),d(pmeis),t(pmeis)
wt_50_001.txt,9.89,4.99,9.89,2.79,2.34,3.62,9.89,3.25,12.23,4.89,9.89,3.27,12.51,4.26,9.89,3.30
wt_50_002.txt,0.75,3.90,0.10,2.73,0.10,3.99,0.10,2.98,3.31,6.41,0.10,5.27,3.31,6.12,0.10,5.11
wt_50_003.txt,18.00,2.90,0.00,1.43,1.39,5.10,0.00,1.58,1.39,5.73,0.00,3.23,0.00,8.39,0.00,3.45
wt_50_004.txt,0.00,4.84,0.00,3.88,15.53,4.71,0.00,4.65,11.67,6.42,0.00,5.65,0.00,9.92,0.00,5.94
wt_50_005.txt,31.49,5.59,0.00,2.10,31.49,6.04,0.00,2.25,5.67,7.24,0.00,4.65,13.83,4.35,0.00,4.41
wt_50_006.txt,1.62,8.11,1.45,5.54,2.42,11.72,1.46,6.73,0.09,18.13,1.45,14.70,0.57,18.52,1.45,16.57
wt_50_007.txt,2.89,6.95,2.17,3.59,2.96,13.19,2.17,4.21,0.00,18.90,0.00,11.30,0.00,17.14,2.17,11.85
wt_50_008.txt,1.82,7.75,0.00,4.88,3.11,10.51,0.00,5.61,0.53,15.33,2.29,13.47,4.44,14.69,2.29,13.70
wt_50_009.txt,3.85,6.15,1.71,2.87,1.88,7.71,1.71,3.32,0.39,14.21,1.71,7.23,0.34,9.68,1.71,7.28
wt_50_010.txt,0.00,3.32,2.72,5.01,2.72,8.31,2.72,5.65,0.00,13.22,2.72,12.83,0.00,17.69,2.72,13.57
wt_50_011.txt,0.90,9.81,1.74,7.25,2.91,11.93,1.31,9.75,0.00,23.78,1.74,23.10,1.20,25.83,1.74,22.85
wt_50_012.txt,2.07,9.53,1.04,6.91,2.58,13.27,1.04,8.11,1.39,26.42,0.23,21.64,0.71,23.72,0.23,21.85
wt_50_013.txt,0.40,9.04,0.76,6.87,0.75,10.10,0.76,7.77,0.84,19.80,0.24,19.69,0.34,18.75,1.00,20.80
wt_50_014.txt,1.11,13.02,1.46,6.24,1.11,14.72,1.46,7.22,0.52,21.52,0.06,21.19,0.39,17.03,0.06,21.78
wt_50_015.txt,0.34,7.35,3.24,6.67,3.24,8.47,3.24,8.20,0.00,20.19,1.83,19.32,0.00,25.68,2.10,23.50
wt_50_016.txt,0.14,11.44,0.14,7.67,0.00,8.17,0.14,5.59,0.07,30.28,0.00,31.88,0.39,19.72,0.14,27.00
wt_50_017.txt,0.14,8.40,0.02,7.55,0.14,7.89,0.19,7.34,0.29,35.51,0.14,24.45,0.02,21.77,0.14,24.87
wt_50_018.txt,0.00,12.58,0.00,5.05,0.35,10.93,0.00,5.45,0.22,24.62,0.02,16.90,0.63,35.62,0.00,20.33
wt_50_019.txt,0.37,9.33,0.41,6.39,0.39,9.50,0.38,8.79,0.00,24.37,0.41,16.57,0.00,11.70,0.38,19.17
wt_50_020.txt,0.01,7.16,0.96,8.76,0.15,11.40,0.31,8.99,0.26,24.34,0.27,27.10,0.27,20.66,0.00,29.39
wt_50_021.txt,0.00,8.02,0.01,5.79,0.01,5.93,0.01,5.77,0.00,11.80,0.01,19.22,0.01,10.02,0.01,14.73
wt_50_022.txt,0.00,5.15,0.06,4.02,0.00,4.04,0.06,3.17,0.00,10.96,0.00,12.24,0.00,13.59,0.06,5.22
wt_50_023.txt,0.03,5.17,0.02,3.49,0.02,6.50,0.00,3.86,0.02,9.87,0.00,22.49,0.00,4.42,0.00,8.16
wt_50_024.txt,0.00,7.77,0.10,4.13,0.00,5.12,0.10,4.61,0.00,15.23,0.10,19.02,0.00,9.86,0.10,19.05
wt_50_025.txt,0.00,5.33,0.00,6.18,0.00,4.13,0.00,3.08,0.00,6.60,0.00,16.60,0.00,8.46,0.00,6.97
wt_50_026.txt,12700.00,6.60,0.00,0.74,400.00,6.56,0.00,0.73,4200.00,6.30,0.00,0.74,4200.00,7.05,0.00,0.82
wt_50_027.txt,0.00,3.74,0.00,0.73,0.00,4.61,0.00,0.75,0.00,6.95,0.00,1.01,0.00,5.72,0.00,0.73
wt_50_028.txt,37.62,5.82,12.19,1.39,75.10,3.09,12.19,1.58,67.81,7.75,12.19,2.68,67.81,7.29,12.19,2.70
wt_50_029.txt,5.05,4.29,0.00,0.73,128.28,3.64,0.00,0.76,5.05,7.79,0.00,0.77,5.05,8.47,0.00,0.85
wt_50_030.txt,331.82,5.12,0.00,0.77,331.82,4.79,0.00,0.77,0.00,4.86,0.00,0.73,0.00,7.28,0.00,0.77
wt_50_031.txt,4.53,9.90,5.79,6.53,4.53,9.64,5.79,7.80,0.82,17.59,5.15,12.06,1.99,16.55,5.15,12.12
wt_50_032.txt,0.63,8.53,1.30,4.98,2.10,9.61,1.30,5.39,1.28,12.28,1.30,11.42,3.90,12.06,1.30,11.47
wt_50_033.txt,3.72,5.60,3.72,2.13,3.72,6.09,3.72,2.30,3.40,10.34,3.72,6.49,4.07,9.57,3.72,6.97
wt_50_034.txt,0.00,7.40,7.57,2.73,8.44,8.62,7.57,3.33,8.44,11.47,7.57,6.66,8.44,10.51,7.57,7.54
