filename,d(vresi),t(vresi),d(vmesi),t(vmesi),d(vreis),t(vreis),d(vmeis),t(vmeis),d(presi),t(presi),d(pmesi),t(pmesi),d(preis),t(preis),d(pmeis),t(pmeis)
wt_40_029.txt,274.47,1.23,0.00,0.41,551.06,2.61,0.00,0.41,551.06,1.24,0.00,0.43,538.30,2.30,0.00,0.41
wt_40_030.txt,7.14,1.55,0.00,1.10,92.86,1.97,0.00,1.23,269.39,3.26,0.00,1.44,178.57,5.24,0.00,1.54
wt_40_031.txt,0.00,3.64,6.65,2.65,3.42,4.75,6.65,2.89,0.00,6.53,0.00,6.95,0.00,7.79,0.00,6.83
wt_40_032.txt,6.91,3.61,0.00,2.63,3.10,4.61,3.10,1.73,0.07,8.68,6.66,4.07,28.43,5.45,0.00,4.79
wt_40_033.txt,3.31,3.27,2.91,2.33,6.02,3.98,2.91,2.34,2.05,7.91,2.91,4.01,2.05,5.66,2.91,4.08
wt_40_034.txt,6.57,2.74,6.08,2.29,19.30,3.34,6.08,2.19,12.76,4.39,6.08,4.27,6.57,4.23,0.00,4.42
wt_40_035.txt,9.04,3.18,0.00,2.37,0.96,3.32,0.95,2.40,0.95,4.65,0.00,4.68,1.57,6.16,0.00,4.79
wt_40_036.txt,0.76,4.36,0.00,3.86,3.23,5.77,3.05,4.21,1.56,12.16,0.00,10.22,4.46,11.27,3.05,8.36
wt_40_037.txt,0.00,4.72,0.09,2.09,0.36,3.74,0.09,3.01,0.10,10.33,0.28,7.60,0.00,8.28,0.17,4.94
wt_40_038.txt,0.99,6.40,1.40,3.58,0.03,5.21,3.18,4.37,1.40,11.86,1.40,10.22,1.40,7.72,1.40,8.67
wt_40_039.txt,5.32,5.27,0.16,1.28,3.48,4.12,0.16,1.45,1.90,12.43,0.16,2.67,0.18,8.25,0.16,2.74
wt_40_040.txt,2.38,5.28,1.09,3.55,0.13,5.81,1.16,2.80,1.16,9.72,1.09,7.62,1.13,7.58,0.13,10.26
wt_40_041.txt,0.68,4.29,0.68,4.15,0.41,5.04,0.68,3.18,0.32,13.47,0.68,16.00,0.65,9.59,0.68,15.89
wt_40_042.txt,0.34,5.41,0.23,3.45,0.23,4.94,0.79,4.81,0.00,15.88,0.82,13.31,0.30,8.25,0.64,11.40
wt_40_043.txt,0.00,5.39,0.00,4.12,0.00,4.14,1.10,3.90,0.00,14.86,0.00,12.67,0.00,8.97,1.05,10.59
wt_40_044.txt,0.19,5.31,0.00,2.82,0.56,3.40,0.00,3.21,0.22,15.68,0.31,11.76,0.04,12.71,0.31,11.07
wt_40_045.txt,0.00,4.68,1.38,5.56,0.32,4.92,1.38,5.76,0.81,14.43,0.83,18.62,0.18,12.75,0.35,21.26
wt_40_046.txt,0.06,2.61,0.06,1.61,0.00,2.72,0.06,1.43,0.00,3.74,0.06,9.21,0.03,2.71,0.06,3.50
wt_40_047.txt,0.02,3.79,0.16,2.82,0.00,3.28,0.04,2.92,0.00,15.09,0.10,10.55,0.00,4.01,0.04,9.20
wt_40_048.txt,0.68,4.87,0.01,3.22,0.00,2.84,0.01,2.59,0.01,15.21,0.01,9.37,0.00,5.46,0.00,10.17
wt_40_049.txt,0.00,2.97,0.00,2.03,0.00,3.20,0.00,1.50,0.00,6.19,0.00,5.71,0.00,4.47,0.00,2.80
wt_40_050.txt,0.00,1.62,0.20,1.07,0.00,2.93,0.20,1.08,0.00,4.04,0.20,1.14,0.00,5.29,0.20,1.04
wt_40_051.txt,(0),3.17,(0),0.42,(0),3.00,(0),0.42,(0),4.24,(0),0.42,(0),4.54,(0),0.43
wt_40_052.txt,(0),1.69,(0),0.48,(0),1.40,(0),0.43,(0),2.32,(0),0.42,(0),0.95,(0),0.42
wt_40_053.txt,(0),1.39,(0),0.41,(0),3.36,(0),0.42,(0),2.55,(0),0.42,(0),1.96,(0),0.42
wt_40_054.txt,(0),0.92,(0),0.43,(0),2.07,(0),0.42,(0),3.06,(0),0.42,(0),1.98,(0),0.42
wt_40_055.txt,(24),1.78,(0),0.43,(24),2.96,(0),0.43,(24),1.58,(0),0.47,(0),2.74,(0),0.42
wt_40_056.txt,14.96,2.88,0.00,1.52,12.48,4.01,0.00,1.77,0.00,5.07,0.00,2.49,13.29,4.80,0.00,2.55
wt_40_057.txt,14.42,6.69,0.00,1.25,23.14,4.90,0.00,1.38,28.72,8.04,0.00,2.59,27.88,6.35,0.00,1.93
wt_40_058.txt,6.77,5.36,14.28,2.07,22.75,4.88,14.28,1.82,7.50,9.06,14.28,3.70,26.86,8.32,14.28,3.67
wt_40_059.txt,8.40,4.64,0.00,2.83,17.94,6.53,0.00,2.77,0.00,6.24,0.00,3.00,0.00,7.61,18.63,3.39
wt_40_060.txt,27.49,5.68,13.65,1.59,42.84,5.55,13.65,1.75,20.92,6.50,13.65,2.69,42.84,7.69,13.65,2.67
wt_40_061.txt,0.16,5.33,0.15,3.36,0.15,5.81,0.15,3.63,4.12,13.43,0.25,9.40,4.97,12.27,0.16,6.62
wt_40_062.txt,1.27,6.32,0.79,4.59,3.79,5.94,0.82,2.92,1.10,12.28,0.79,7.54,1.83,8.64,0.79,7.99
wt_40_063.txt,7.39,6.30,1.19,3.13,1.85,4.05,1.19,2.56,1.61,13.07,0.16,4.98,1.10,10.40,0.16,5.29
wt_40_064.txt,0.00,6.41,1.29,3.30,3.19,4.31,0.01,3.43,0.16,12.82,1.52,8.75,0.16,11.89,0.01,8.36
wt_40_065.txt,0.00,5.44,0.45,2.29,1.42,3.14,0.45,2.67,11.89,9.56,0.45,5.10,0.00,11.27,0.45,5.03
wt_40_066.txt,0.04,5.06,0.84,3.80,0.04,4.20,0.04,3.15,0.00,17.24,0.84,12.13,0.00,8.82,0.04,13.05
wt_40_067.txt,0.08,7.00,0.21,4.15,0.14,4.43,0.13,3.34,0.23,14.69,0.13,9.29,0.00,9.72,0.13,8.45
wt_40_068.txt,0.37,5.45,0.19,4.78,0.00,2.97,0.19,2.81,0.00,13.67,0.19,8.94,0.00,8.73,0.19,5.46
wt_40_069.txt,0.20,8.80,0.02,2.24,0.02,3.84,0.02,2.43,0.20,20.07,0.32,8.12,0.20,8.29,0.02,10.40
wt_40_070.txt,0.19,4.91,0.06,6.06,0.06,5.11,0.79,3.04,0.00,16.37,1.33,11.67,0.01,8.82,0.01,17.18
wt_40_071.txt,0.00,4.05,0.00,2.37,0.00,2.60,0.00,2.50,0.00,8.49,0.03,9.83,0.00,3.89,0.09,6.02
wt_40_072.txt,0.00,4.70,0.03,3.12,0.00,3.86,0.03,2.07,0.03,13.25,0.03,11.28,0.33,5.87,0.03,6.33
wt_40_073.txt,0.04,3.62,0.04,3.32,0.15,2.23,0.15,2.35,0.00,15.94,0.00,9.52,0.00,3.55,0.04,5.47
wt_40_074.txt,0.01,3.92,1.13,3.08,0.01,3.78,0.00,4.71,0.00,15.13,0.69,7.52,0.01,4.84,0.16,10.91
wt_40_075.txt,0.00,3.06,0.00,5.08,0.00,3.75,0.00,2.73,0.00,9.73,0.00,14.25,0.00,7.21,0.00,8.19
wt_40_076.txt,(0),2.11,(0),0.41,(0),2.35,(0),0.41,(0),2.10,(0),0.41,(0),2.67,(0),0.42
wt_40_077.txt,(0),2.40,(0),0.41,(0),0.96,(0),0.41,(0),2.47,(0),0.42,(0),3.30,(0),0.41
wt_40_078.txt,(0),1.32,(0),0.42,(0),1.75,(0),0.41,(0),0.58,(0),0.41,(0),1.92,(0),0.42
wt_40_079.txt,(0),1.41,(0),0.41,(0),1.70,(0),0.42,(0),2.87,(0),0.41,(0),2.38,(0),0.45
wt_40_080.txt,(0),1.32,(0),0.42,(0),1.97,(0),0.41,(0),2.49,(0),0.67,(0),4.69,(0),0.41
wt_40_081.txt,226.90,4.70,0.00,0.78,57.89,6.44,0.00,0.90,57.89,9.74,0.00,1.14,57.89,8.66,0.00,1.18
wt_40_082.txt,25.58,4.53,0.00,0.41,25.58,4.45,0.00,0.42,97.67,10.48,0.00,0.44,0.00,6.78,0.00,0.43
wt_40_083.txt,64.29,5.56,0.00,0.43,58.65,4.70,0.00,0.41,61.28,8.14,0.00,0.43,26.94,5.98,0.00,0.42
wt_40_084.txt,155.11,6.46,41.65,0.46,138.74,3.87,41.65,0.43,140.36,8.70,41.65,0.44,139.22,8.55,41.65,0.42
wt_40_085.txt,9.41,5.01,0.00,1.17,9.41,5.19,0.00,1.26,7.35,8.65,0.00,1.48,25.90,6.80,0.00,1.59
wt_40_086.txt,2.77,6.02,1.02,4.40,8.28,5.28,1.02,5.13,2.63,11.88,1.02,8.18,0.94,10.96,1.35,9.33
wt_40_087.txt,0.90,5.96,1.14,3.90,4.50,4.86,1.24,2.65,0.07,11.82,1.14,7.55,2.18,8.36,1.24,7.77
wt_40_088.txt,2.51,5.82,1.33,4.38,0.77,3.77,1.91,4.43,0.61,8.67,0.25,6.84,0.19,11.34,0.06,8.59
wt_40_089.txt,0.16,6.80,1.77,5.50,0.76,6.58,0.16,7.14,4.74,10.56,1.77,11.28,4.49,9.67,3.05,10.62
wt_40_090.txt,1.09,6.20,3.28,3.58,1.36,4.60,1.09,5.08,7.24,12.14,3.02,7.30,1.08,8.78,3.28,7.95
wt_40_091.txt,0.06,8.31,0.00,4.55,0.00,4.97,0.00,5.38,0.06,17.13,0.16,7.45,0.39,8.91,0.16,7.99
wt_40_092.txt,1.63,5.86,1.75,2.76,0.00,4.05,2.06,3.16,0.12,13.87,0.40,9.72,0.00,11.31,1.81,7.76
wt_40_093.txt,0.42,7.05,0.44,2.93,0.04,3.80,0.44,2.70,0.37,13.49,0.35,10.68,0.04,11.64,0.44,8.54
wt_40_094.txt,1.15,6.52,1.50,5.52,0.59,5.18,2.00,3.55,0.22,14.61,1.53,14.85,0.00,11.27,1.53,14.31
wt_40_095.txt,0.97,5.29,0.75,4.41,0.00,4.75,0.84,4.79,0.00,14.43,0.52,11.60,0.09,8.68,0.84,10.35
wt_40_096.txt,0.04,6.59,0.20,5.94,0.19,3.11,0.20,3.15,0.04,12.02,0.01,16.04,0.00,6.37,0.20,13.06
wt_40_097.txt,0.00,2.50,0.00,2.09,0.00,2.06,0.00,1.63,0.00,4.17,0.00,9.43,0.00,2.06,0.00,2.81
wt_40_098.txt,0.00,4.66,0.58,4.44,0.00,3.18,0.58,2.28,0.00,15.85,0.00,13.80,0.00,6.39,0.00,6.86
wt_40_099.txt,0.00,4.53,0.00,3.22,0.00,3.69,0.00,2.88,0.00,13.45,0.00,9.83,0.00,10.24,0.00,8.05
wt_40_100.txt,0.03,6.28,0.02,4.50,0.00,4.67,0.02,4.48,0.00,12.97,0.03,10.82,0.02,6.21,0.02,6.87
wt_40_101.txt,(0),1.67,(0),0.42,(0),1.99,(0),0.41,(0),2.00,(0),0.41,(0),2.22,(0),0.42
wt_40_102.txt,(0),2.84,(0),0.42,(0),3.06,(0),0.41,(0),4.08,(0),0.41,(0),3.96,(0),0.42
wt_40_103.txt,(4),2.50,(0),0.41,(22),4.77,(0),0.43,(0),4.92,(0),0.42,(0),4.52,(0),0.43
wt_40_104.txt,(0),2.15,(0),0.41,(0),1.85,(0),0.41,(0),2.24,(0),0.41,(0),3.85,(0),0.43
wt_40_105.txt,(0),1.85,(0),0.43,(0),2.49,(0),0.42,(0),3.44,(0),0.41,(0),3.38,(0),0.47
wt_40_106.txt,(48),5.00,(0),0.43,(0),4.69,(0),0.41,(45),7.80,(0),0.42,(0),6.13,(0),0.43
wt_40_107.txt,21.71,5.40,0.00,0.47,25.58,4.31,0.00,0.46,50.19,8.68,0.00,0.47,33.33,7.37,0.00,0.49
wt_40_108.txt,23.79,5.51,0.00,3.01,8.20,6.11,0.00,3.09,42.87,7.64,0.00,4.11,5.07,12.00,0.00,4.06
wt_40_109.txt,(0),2.86,(0),0.41,(0),2.75,(0),0.41,(0),4.05,(0),0.41,(0),5.18,(0),0.41
wt_40_110.txt,(0),3.51,(0),0.42,(0),4.20,(0),0.42,(0),5.46,(0),0.41,(0),8.02,(0),0.45
wt_40_111.txt,1.82,7.10,1.15,5.51,0.84,5.96,0.84,4.64,0.61,11.53,1.28,10.18,0.91,14.39,1.28,10.23
wt_40_112.txt,3.30,5.37,0.48,4.12,0.42,4.52,0.69,4.14,3.29,13.17,0.77,6.54,2.86,8.36,0.73,7.40
wt_40_113.txt,0.31,7.32,0.33,2.90,0.18,5.33,0.23,3.34,0.38,12.99,0.33,6.55,0.45,11.71,0.33,5.07
wt_40_114.txt,7.26,6.29,0.00,3.87,0.00,6.14,0.07,3.49,0.60,15.81,1.06,7.77,3.76,9.76,0.07,9.11
wt_40_115.txt,4.65,5.79,0.15,3.90,4.23,5.99,0.15,3.95,6.57,12.99,0.15,7.94,0.12,11.86,0.74,7.04
wt_40_116.txt,2.01,4.81,1.11,4.83,0.67,4.90,0.10,5.58,0.54,15.19,0.55,13.56,0.10,10.45,1.12,11.67
wt_40_117.txt,0.43,6.82,0.13,5.13,0.14,3.96,0.13,4.50,0.34,14.31,0.87,9.06,0.34,10.32,0.59,9.52
wt_40_118.txt,0.05,6.14,1.66,5.21,0.66,5.76,1.44,5.31,0.64,13.03,5.45,9.45,0.65,14.86,5.22,12.75
wt_40_119.txt,0.18,5.55,0.18,5.45,0.00,5.00,0.00,4.74,0.00,14.20,0.10,9.45,0.10,6.43,0.18,11.09
wt_40_120.txt,0.32,6.65,0.38,4.32,0.03,4.31,0.38,4.44,0.32,12.96,0.32,10.44,0.17,6.86,0.20,8.00
wt_40_121.txt,0.03,7.59,0.04,5.19,0.03,4.91,0.04,5.10,0.00,11.69,0.04,9.39,0.00,6.40,0.04,9.43
wt_40_122.txt,0.04,5.65,0.07,4.78,0.03,3.23,0.00,3.95,0.12,14.78,0.16,11.17,0.00,3.88,0.03,6.84
wt_40_123.txt,0.35,3.52,0.44,5.23,0.00,5.82,0.44,3.77,0.00,13.55,0.44,10.87,0.00,10.21,0.44,9.22
wt_40_124.txt,0.44,5.64,3.45,3.32,0.44,3.86,3.45,3.16,0.44,14.20,0.46,9.49,0.44,11.60,0.44,8.73
wt_40_125.txt,0.00,5.06,0.00,3.79,0.00,3.95,0.00,3.51,0.03,15.31,0.03,8.85,0.00,8.26,0.03,8.32
