filename,d(vresi),t(vresi),d(vmesi),t(vmesi),d(vreis),t(vreis),d(vmeis),t(vmeis),d(presi),t(presi),d(pmesi),t(pmesi),d(preis),t(preis),d(pmeis),t(pmeis)
wt_40_001.txt,65.17,2.05,0.00,0.46,4.71,1.59,0.00,0.47,13.03,3.03,0.00,0.47,13.03,3.52,0.00,0.55
wt_40_002.txt,12.16,2.60,0.00,1.98,33.39,2.19,0.00,2.21,33.39,4.83,0.00,2.80,28.82,3.42,0.00,2.92
wt_40_003.txt,6.70,2.36,0.00,0.80,8.38,3.26,0.00,0.86,6.70,4.51,0.00,2.11,77.09,3.12,0.00,2.21
wt_40_004.txt,6.59,1.81,0.00,1.12,6.59,2.68,0.00,1.25,33.91,3.32,0.00,1.78,1.29,2.79,0.00,1.89
wt_40_005.txt,10.10,1.91,10.10,1.12,10.10,1.66,10.10,1.33,0.00,2.89,10.10,2.10,10.10,3.36,10.10,2.20
wt_40_006.txt,3.74,3.23,7.40,2.41,7.40,3.87,3.74,2.78,7.40,5.13,0.00,5.20,3.74,7.09,3.74,5.90
wt_40_007.txt,0.00,2.55,6.23,2.37,3.91,2.48,6.23,2.73,3.91,5.70,0.00,6.16,4.41,5.87,0.00,5.98
wt_40_008.txt,13.28,2.36,4.09,2.36,1.50,2.74,4.09,3.70,4.09,5.23,3.79,5.73,1.50,6.76,1.50,6.69
wt_40_009.txt,1.10,3.35,2.98,2.31,3.70,2.89,2.98,2.76,1.10,6.11,0.25,4.37,1.10,6.93,0.25,4.21
wt_40_010.txt,1.40,3.17,0.00,2.31,1.40,5.62,0.00,2.68,1.40,7.72,0.00,5.66,1.40,8.53,0.00,5.47
wt_40_011.txt,0.00,3.65,0.15,3.92,0.56,4.02,0.15,4.54,1.94,6.72,0.00,7.90,0.56,8.49,0.00,8.38
wt_40_012.txt,0.37,4.92,1.46,3.19,0.66,4.60,1.46,3.91,2.34,9.69,0.66,8.44,2.80,9.15,0.66,8.56
wt_40_013.txt,2.31,3.58,1.08,4.23,2.14,4.06,1.08,5.12,0.16,6.68,2.14,7.76,0.11,9.96,1.08,10.67
wt_40_014.txt,0.00,3.30,1.87,1.63,2.57,3.36,2.83,1.54,3.00,6.40,1.06,7.99,1.06,6.83,1.87,6.35
wt_40_015.txt,1.21,3.59,1.21,1.72,1.21,4.12,1.17,2.54,0.84,8.90,1.17,6.47,0.84,9.51,1.21,6.82
wt_40_016.txt,0.00,4.90,0.33,2.97,0.25,3.65,0.32,2.48,0.08,11.02,0.33,11.71,0.34,10.33,0.39,10.78
wt_40_017.txt,0.00,4.46,2.79,1.43,0.11,3.13,2.79,1.50,0.11,10.57,0.00,11.70,0.00,5.34,0.00,11.81
wt_40_018.txt,0.16,3.97,0.47,3.40,0.15,2.47,0.06,4.17,0.05,11.77,0.07,7.88,0.00,11.59,0.05,7.29
wt_40_019.txt,0.00,5.91,0.00,5.74,0.63,2.39,0.04,3.92,0.04,15.15,0.00,11.89,0.00,11.68,0.00,13.92
wt_40_020.txt,0.02,3.62,0.33,3.70,0.02,2.86,0.33,3.24,0.22,12.71,0.24,11.85,0.00,9.47,0.00,13.29
wt_40_021.txt,0.00,3.75,0.00,2.36,0.00,2.01,0.00,1.14,0.00,5.38,0.00,9.32,0.00,3.78,0.00,2.79
wt_40_022.txt,0.00,3.81,0.02,2.31,0.00,2.44,0.02,3.45,0.00,10.43,0.02,11.15,0.03,6.09,0.00,11.93
wt_40_023.txt,0.00,1.77,0.00,2.05,0.00,2.03,0.00,1.51,0.00,1.97,0.00,8.11,0.00,2.50,0.00,2.85
wt_40_024.txt,0.00,3.37,0.03,1.13,0.00,2.68,0.03,1.20,0.03,11.50,0.03,2.42,0.00,6.04,0.03,2.55
wt_40_025.txt,0.00,3.39,0.00,1.85,0.00,2.16,0.00,1.65,0.00,5.96,0.00,3.15,0.00,3.83,0.00,3.24
wt_40_026.txt,0.00,2.03,0.00,0.42,133.33,3.08,0.00,0.42,0.00,1.85,0.00,0.42,33.33,3.41,0.00,0.42
wt_40_027.txt,9.38,1.55,0.00,0.41,9.38,2.08,0.00,0.41,9.38,3.03,0.00,0.43,9.38,1.97,0.00,0.42
wt_40_028.txt,220.00,1.70,0.00,0.41,220.00,1.34,0.00,0.41,220.00,1.97,0.00,0.41,0.00,3.24,0.00,0.41
