filename,d(vresi),t(vresi),d(vmesi),t(vmesi),d(vreis),t(vreis),d(vmeis),t(vmeis),d(presi),t(presi),d(pmesi),t(pmesi),d(preis),t(preis),d(pmeis),t(pmeis)
wt_100_043.txt,0.17,146.71,0.30,136.62,0.24,145.99,0.56,130.47,0.76,536.42,1.03,416.32,0.40,396.10,0.87,482.10
wt_100_044.txt,1.00,184.28,1.39,136.29,0.12,89.75,1.33,101.82,0.05,515.16,1.43,474.56,0.13,499.26,1.43,479.86
wt_100_045.txt,0.42,158.48,0.98,132.86,0.52,144.21,0.98,99.34,0.37,559.24,0.92,462.56,0.55,436.73,0.56,453.37
wt_100_046.txt,0.01,104.76,0.10,80.76,0.00,70.06,0.01,96.27,0.03,314.01,0.01,633.42,0.00,192.11,0.13,381.71
wt_100_047.txt,0.01,124.00,0.01,83.03,0.00,60.82,0.01,47.13,0.01,429.16,0.01,383.09,0.01,158.47,0.01,325.62
wt_100_048.txt,0.04,120.76,0.14,100.48,0.07,89.17,0.14,61.72,0.03,622.20,0.11,535.80,0.00,400.01,0.15,473.74
wt_100_049.txt,0.01,154.15,0.01,103.10,0.01,89.82,0.03,58.86,0.01,500.73,0.02,465.03,0.01,116.85,0.01,250.85
wt_100_050.txt,0.09,114.80,0.13,108.85,0.00,85.89,0.07,75.68,0.02,579.02,0.01,457.42,0.01,180.77,0.04,393.69
wt_100_051.txt,(0),34.85,(0),4.91,(0),37.97,(0),4.92,(0),70.74,(0),4.92,(0),57.14,(0),4.92
wt_100_052.txt,(0),34.24,(0),4.97,(0),35.84,(0),5.16,(0),47.76,(0),4.88,(0),36.80,(0),4.91
wt_100_053.txt,(0),30.38,(0),4.94,(0),31.56,(0),4.88,(0),61.26,(0),4.92,(0),57.35,(0),5.07
wt_100_054.txt,(0),54.23,(0),5.13,(0),33.89,(0),5.10,(0),64.85,(0),4.94,(0),76.79,(0),4.99
wt_100_055.txt,(0),49.93,(0),5.18,(0),38.44,(0),4.90,(0),65.03,(0),5.07,(0),66.19,(0),4.92
wt_100_056.txt,20.59,101.46,0.00,41.42,5.65,90.75,2.49,31.63,5.66,225.28,8.00,73.27,20.59,152.43,4.85,70.71
wt_100_057.txt,23.42,93.80,5.10,41.88,6.59,86.00,5.10,43.93,3.67,169.63,4.06,80.89,0.07,198.32,4.06,81.06
wt_100_058.txt,18.77,141.63,6.36,70.90,24.20,105.03,4.90,68.08,21.65,240.10,6.80,107.27,8.80,259.69,0.66,127.38
wt_100_059.txt,1.77,91.52,0.00,38.88,2.71,83.56,0.00,44.17,0.49,168.85,0.00,66.75,1.77,129.01,0.00,69.08
wt_100_060.txt,7.45,135.42,0.02,67.77,4.81,94.73,8.05,45.93,3.23,201.69,1.69,106.58,0.75,142.41,1.76,100.55
wt_100_061.txt,0.82,207.61,1.51,113.58,2.16,158.98,1.68,95.49,2.11,446.81,2.24,254.81,3.67,372.68,1.48,328.53
wt_100_062.txt,1.08,207.23,1.01,128.51,2.25,165.20,1.02,155.92,2.60,461.21,1.07,384.06,1.52,410.01,2.73,357.67
wt_100_063.txt,3.69,191.62,0.76,97.77,4.25,129.46,0.79,122.29,1.54,545.56,2.45,277.39,2.65,385.34,0.77,292.54
wt_100_064.txt,1.38,162.41,1.57,123.99,0.99,95.19,1.53,118.15,1.97,311.72,0.99,288.69,0.77,333.91,1.43,255.40
wt_100_065.txt,5.17,152.80,2.74,85.91,4.99,119.88,2.29,86.13,1.83,362.03,3.24,220.03,1.07,333.46,3.24,254.52
wt_100_066.txt,0.19,207.11,1.49,185.17,0.13,123.72,1.07,191.77,0.05,627.08,1.56,596.51,0.05,380.40,1.67,481.38
wt_100_067.txt,0.15,215.97,0.53,169.08,0.25,150.64,0.52,123.58,0.17,548.21,0.99,542.45,0.19,478.41,0.92,468.32
wt_100_068.txt,0.18,200.77,0.70,147.23,0.28,132.62,1.54,120.24,0.12,624.55,0.82,485.53,0.01,289.50,0.43,531.32
wt_100_069.txt,0.24,220.53,0.88,131.37,0.98,162.51,0.88,139.59,0.09,652.16,0.82,423.01,0.07,391.87,0.72,417.11
wt_100_070.txt,0.60,190.05,0.55,111.56,0.10,117.35,0.33,99.85,0.30,541.04,1.06,323.26,0.50,370.13,1.13,320.56
wt_100_071.txt,0.03,159.44,0.04,105.22,0.04,92.92,0.26,93.66,0.01,713.01,0.04,560.09,0.02,246.60,0.18,376.59
wt_100_072.txt,0.04,147.12,0.05,148.67,0.01,76.54,0.15,90.69,0.17,620.71,0.02,610.50,0.04,257.38,0.09,451.10
wt_100_073.txt,0.00,160.02,0.00,132.54,0.00,47.96,0.05,59.09,0.01,412.51,0.00,456.48,0.00,184.38,0.00,52.97
wt_100_074.txt,0.07,153.94,0.06,114.73,0.00,85.88,0.17,75.01,0.00,552.76,0.15,398.01,0.00,278.01,0.15,379.08
wt_100_075.txt,0.01,159.66,0.04,123.40,0.02,67.99,0.03,97.70,0.01,641.91,0.04,556.09,0.01,255.14,0.03,485.13
wt_100_076.txt,(0),68.18,(0),5.09,(0),62.74,(0),5.14,(0),70.53,(0),5.18,(0),62.04,(0),5.03
wt_100_077.txt,(0),35.70,(0),5.10,(0),29.93,(0),5.06,(0),38.40,(0),5.08,(0),42.32,(0),5.11
