filename,d(ebr),t(ebr),d(ebe),t(ebe),d(ebm),t(ebm),d(efr),t(efr),d(efe),t(efe),d(efm),t(efm),d(sbr),t(sbr),d(sbe),t(sbe),d(sbm),t(sbm),d(sfr),t(sfr),d(sfe),t(sfe),d(sfm),t(sfm),d(ibr),t(ibr),d(ibe),t(ibe),d(ibm),t(ibm),d(ifr),t(ifr),d(ife),t(ife),d(ifm),t(ifm)
wt_100_001.txt,595.26,1.37,49.06,0.32,55.64,0.11,376.80,1.38,49.25,0.29,55.64,0.11,4.43,115.83,0.00,56.41,0.00,56.26,3.69,441.28,1.30,149.81,5.11,122.48,480.74,9.42,71.44,3.83,55.64,2.22,266.72,50.67,49.25,10.13,55.64,3.50
wt_100_002.txt,815.07,0.69,77.60,0.29,93.05,0.12,670.79,1.36,77.60,0.28,93.05,0.11,3.34,92.41,0.78,52.07,0.00,56.39,0.19,295.93,0.19,333.93,0.19,218.65,98.59,12.45,77.60,4.87,93.05,2.22,166.79,55.12,77.60,9.57,93.05,3.93
wt_100_003.txt,671.53,0.70,126.41,0.33,149.52,0.14,736.63,0.83,126.41,0.30,149.52,0.14,0.45,96.10,0.45,51.86,0.00,51.78,0.00,331.34,6.16,123.87,0.00,163.61,225.94,19.85,126.41,7.25,149.52,2.86,209.37,53.23,126.41,10.34,149.52,4.93
wt_100_004.txt,660.91,1.62,65.60,0.26,82.30,0.11,638.38,0.87,65.60,0.25,82.30,0.11,12.23,93.47,0.00,57.15,2.77,65.33,0.00,521.21,0.00,197.36,0.00,174.96,313.13,19.27,65.60,5.42,65.60,5.16,331.89,41.20,65.60,9.11,65.60,7.90
wt_100_005.txt,842.15,0.72,167.86,0.27,171.97,0.20,670.47,0.93,147.87,0.41,171.97,0.18,4.92,109.14,0.00,56.09,0.00,51.97,0.00,473.54,5.30,289.99,5.30,316.11,356.62,15.63,155.57,7.43,155.57,7.11,233.39,52.34,147.87,13.81,149.61,10.63
wt_100_006.txt,181.46,3.55,42.80,2.31,42.64,1.29,164.88,2.25,31.05,2.01,42.64,1.11,0.13,217.42,0.62,168.29,0.48,164.90,0.78,1994.25,0.78,1261.38,0.78,1308.68,95.37,36.32,36.65,27.52,33.91,20.28,100.91,116.76,31.05,66.41,34.36,46.46
wt_100_007.txt,183.38,3.39,98.36,2.84,108.74,1.12,189.50,2.92,86.71,2.40,108.74,1.01,1.27,239.15,0.87,203.05,0.63,177.54,3.05,1824.72,1.43,1795.62,1.43,1500.50,133.67,22.23,95.48,33.77,108.39,14.77,97.17,124.90,86.75,80.67,108.39,35.38
wt_100_008.txt,123.28,4.11,95.48,2.12,99.91,1.09,144.86,2.05,80.49,2.09,99.91,0.97,0.64,239.06,1.15,181.21,0.59,185.51,2.53,1892.56,1.58,1683.09,0.77,1661.50,92.54,27.77,93.77,25.25,95.99,20.27,92.45,110.97,80.49,70.41,96.71,41.12
wt_100_009.txt,169.88,4.02,85.89,2.19,92.06,0.89,145.66,3.03,70.03,2.10,91.83,0.84,0.89,207.01,0.38,181.74,1.93,159.80,0.07,2151.31,0.07,1587.16,0.07,1330.16,193.74,27.50,82.64,23.71,77.70,18.50,125.94,140.83,70.03,70.67,77.97,37.87
wt_100_010.txt,110.10,4.24,59.21,2.55,56.62,0.90,77.69,1.97,52.16,2.19,56.62,0.78,0.60,202.90,2.92,190.26,1.67,151.30,1.67,1862.55,1.67,1707.04,1.67,1420.75,61.88,44.84,59.79,21.66,55.51,10.78,63.99,127.50,52.16,72.31,55.51,30.60
