filename,d(ebr),t(ebr),d(ebe),t(ebe),d(ebm),t(ebm),d(efr),t(efr),d(efe),t(efe),d(efm),t(efm),d(sbr),t(sbr),d(sbe),t(sbe),d(sbm),t(sbm),d(sfr),t(sfr),d(sfe),t(sfe),d(sfm),t(sfm),d(ibr),t(ibr),d(ibe),t(ibe),d(ibm),t(ibm),d(ifr),t(ifr),d(ife),t(ife),d(ifm),t(ifm)
wt_50_001.txt,329.66,0.15,169.45,0.04,192.88,0.01,350.89,0.08,169.45,0.04,192.88,0.01,12.23,5.71,0.00,6.20,9.89,2.60,7.78,18.46,0.00,10.16,0.00,10.80,191.14,1.66,169.45,0.39,192.88,0.10,160.78,2.24,169.45,0.64,192.88,0.10
wt_50_002.txt,617.94,0.11,61.62,0.11,66.03,0.03,176.25,0.12,39.48,0.14,66.03,0.03,0.75,6.42,0.10,4.22,0.00,3.52,13.23,19.76,0.75,5.56,0.75,4.89,84.87,0.93,61.62,0.62,66.03,0.41,345.99,5.66,39.48,1.52,66.03,0.39
wt_50_003.txt,129.31,0.13,9.72,0.08,9.72,0.03,146.46,0.35,9.72,0.08,9.72,0.03,1.39,4.48,0.00,2.39,0.00,2.39,2.44,21.15,2.44,4.75,0.00,2.10,273.09,1.29,9.72,0.58,9.72,0.29,113.40,3.62,9.72,0.87,9.72,0.35
wt_50_004.txt,517.50,0.09,104.12,0.05,104.12,0.03,178.30,0.09,101.90,0.05,104.12,0.03,0.00,8.28,0.00,6.03,0.00,4.01,0.00,23.55,0.00,15.79,0.00,9.65,184.88,2.22,104.12,0.58,104.12,0.39,253.40,1.78,101.90,0.87,104.12,0.46
wt_50_005.txt,370.36,0.13,202.04,0.05,202.04,0.03,369.70,0.14,202.04,0.04,202.04,0.03,5.67,9.81,0.00,4.06,0.00,3.73,5.67,27.80,5.67,16.73,5.67,17.23,214.43,1.40,202.04,0.56,202.04,0.46,264.56,3.83,202.04,0.78,202.04,0.61
wt_50_006.txt,71.11,0.52,52.77,0.41,53.49,0.24,118.45,0.57,50.49,0.38,53.49,0.19,1.27,16.83,1.90,13.54,0.51,14.79,2.55,88.33,0.89,62.65,0.89,56.55,85.42,2.35,52.93,2.90,52.77,1.97,52.48,7.82,50.49,5.66,52.77,3.26
wt_50_007.txt,103.00,0.39,65.27,0.37,81.36,0.10,141.14,0.33,65.27,0.34,81.36,0.10,3.24,15.79,0.00,15.50,0.00,11.60,0.00,86.11,0.00,46.63,0.00,38.70,116.78,2.49,72.85,1.50,65.27,1.77,171.20,8.28,65.27,4.65,65.27,2.14
wt_50_008.txt,155.75,0.73,60.32,0.50,89.79,0.14,188.78,0.52,59.10,0.44,89.79,0.13,1.59,12.18,1.59,12.72,2.29,7.86,1.31,64.22,1.31,54.17,0.00,37.63,228.18,3.60,87.32,1.98,89.79,1.23,97.62,6.33,45.10,6.61,89.79,2.02
wt_50_009.txt,227.43,0.59,40.37,0.31,40.37,0.07,200.17,0.37,40.37,0.27,40.37,0.06,0.34,10.21,0.39,9.34,1.71,7.86,0.34,67.52,0.34,52.72,0.34,20.56,36.83,2.46,41.10,1.31,40.37,0.66,185.02,10.21,40.37,4.23,40.37,1.05
wt_50_010.txt,93.62,0.43,45.43,0.31,45.43,0.17,124.94,0.58,27.45,0.33,45.43,0.17,0.00,14.47,2.75,10.59,1.91,8.99,2.07,78.34,2.07,48.41,2.07,41.91,118.79,2.60,45.43,2.00,45.43,1.47,100.33,8.69,22.38,5.29,45.43,2.66
wt_50_011.txt,75.47,1.12,25.20,1.00,49.56,0.39,27.03,0.78,22.60,0.77,49.56,0.30,2.74,23.28,1.20,26.95,1.20,21.91,0.00,162.91,1.23,114.14,0.00,92.29,28.14,6.37,38.30,3.98,49.56,2.54,32.03,11.98,22.60,10.15,49.56,4.54
wt_50_012.txt,70.86,1.05,26.97,1.54,40.95,0.36,108.34,0.61,19.59,1.06,40.95,0.27,0.93,22.81,0.93,25.08,1.92,19.78,0.93,153.48,0.90,138.43,0.93,100.70,44.54,3.68,37.50,4.45,34.48,4.29,57.72,11.65,19.59,13.88,40.80,4.70
wt_50_013.txt,67.93,0.57,49.76,1.33,50.34,0.33,60.45,0.79,46.78,0.93,50.34,0.27,0.00,23.86,1.84,23.00,0.76,19.93,0.00,113.17,0.00,181.78,0.00,122.98,31.04,5.46,52.63,5.17,49.52,2.63,35.97,13.47,46.78,12.85,49.76,4.63
wt_50_014.txt,85.26,1.10,24.99,0.78,17.42,0.34,86.39,0.61,7.94,0.76,17.42,0.28,0.63,18.82,0.64,20.50,1.07,16.83,0.65,107.90,0.72,90.05,0.65,79.39,57.41,6.55,21.76,2.94,17.42,2.00,53.68,9.27,7.94,10.35,17.42,4.39
wt_50_015.txt,80.25,1.01,70.35,0.84,83.77,0.28,34.41,0.85,66.96,0.68,83.77,0.24,0.00,26.90,0.34,19.61,2.11,18.63,0.81,164.53,0.81,167.47,0.81,139.85,23.25,4.47,67.62,2.72,73.77,3.07,46.77,11.55,66.96,9.44,73.77,4.60
wt_50_016.txt,36.80,1.77,21.90,1.54,21.01,0.45,30.17,1.32,17.62,0.95,21.01,0.35,0.07,29.94,0.07,29.48,0.31,21.66,0.85,304.17,0.31,188.85,0.23,152.43,18.74,8.51,20.32,5.75,19.38,4.63,19.72,15.21,17.62,11.34,18.50,5.64
wt_50_017.txt,32.96,1.79,15.55,2.03,22.42,0.70,46.97,1.17,14.21,1.21,22.42,0.54,0.75,32.20,0.14,30.98,0.14,21.19,0.01,270.48,0.14,229.78,0.14,164.25,23.31,5.58,18.94,5.20,18.38,4.99,9.30,17.29,14.21,16.40,18.38,10.19
wt_50_018.txt,33.48,2.31,12.49,2.01,12.33,0.49,31.49,1.06,10.36,1.30,11.93,0.42,0.45,31.92,0.64,34.52,0.02,24.47,0.00,228.24,0.30,186.14,0.00,128.30,37.27,7.61,12.10,7.50,11.43,3.72,17.56,16.61,10.36,14.77,11.93,5.81
wt_50_019.txt,14.20,1.92,5.23,1.83,11.29,0.81,25.64,0.73,5.05,1.12,11.29,0.65,0.20,31.05,0.20,25.30,0.41,21.81,0.20,239.21,0.20,235.07,0.20,180.37,9.80,7.27,12.45,7.95,9.04,3.67,17.97,16.16,5.05,15.41,9.22,9.95
wt_50_020.txt,37.20,2.01,12.81,1.83,15.38,0.81,28.09,1.09,9.33,1.22,14.16,0.60,0.11,30.38,1.06,29.27,0.27,28.82,0.00,210.22,0.00,262.47,0.00,188.69,8.33,5.97,12.38,5.69,13.63,5.52,15.47,13.40,9.33,16.32,12.35,9.30
wt_50_021.txt,2.48,2.78,0.57,2.86,1.51,1.07,0.31,1.35,0.03,1.41,1.51,0.71,0.00,37.65,0.01,38.51,0.00,29.64,0.01,283.03,0.01,313.99,0.01,235.66,0.02,6.38,0.00,4.94,0.78,8.13,0.03,16.24,0.02,16.32,0.78,10.47
wt_50_022.txt,0.36,3.14,0.08,2.60,0.60,1.39,0.00,1.54,0.02,1.35,0.60,0.93,0.00,38.79,0.00,33.61,0.00,31.51,0.00,292.91,0.00,244.97,0.00,240.03,0.02,6.27,0.05,7.21,0.16,6.77,0.02,16.67,0.02,16.24,0.10,13.12
wt_50_023.txt,3.17,2.38,1.95,3.57,1.63,1.24,1.16,1.74,0.00,1.81,1.63,0.89,0.00,37.18,0.02,36.13,0.00,31.30,0.02,243.83,0.02,312.58,0.00,196.80,0.00,6.97,0.01,8.65,0.04,9.88,0.00,17.29,0.00,19.12,0.02,11.62
wt_50_024.txt,2.15,2.85,1.23,2.88,2.14,0.70,4.24,1.32,0.06,1.49,2.14,0.51,0.00,38.67,0.00,36.48,0.10,27.96,0.00,267.46,0.00,303.89,0.00,154.23,0.10,7.42,0.06,9.27,2.14,4.64,0.13,15.24,0.06,18.95,2.14,7.84
wt_50_025.txt,0.18,3.35,0.00,3.05,0.53,1.48,0.18,1.67,0.00,1.47,0.40,0.94,0.00,38.99,0.00,38.84,0.00,33.28,0.00,299.37,0.00,307.29,0.00,244.88,0.00,7.71,0.00,7.21,0.00,8.20,0.00,17.00,0.00,16.98,0.00,12.17
wt_50_026.txt,468150.00,0.23,0.00,0.01,0.00,0.00,440600.00,0.22,0.00,0.01,0.00,0.01,4200.00,8.62,0.00,0.58,0.00,0.57,0.00,19.74,0.00,0.63,0.00,0.64,270900.00,1.35,0.00,0.10,0.00,0.10,185350.00,4.03,0.00,0.10,0.00,0.10
wt_50_027.txt,137975.00,0.18,0.00,0.01,0.00,0.01,192100.00,0.11,0.00,0.01,0.00,0.01,0.00,6.78,0.00,0.59,0.00,0.60,0.00,14.71,0.00,0.64,0.00,0.64,96250.00,1.67,0.00,0.10,0.00,0.10,98775.00,2.41,0.00,0.10,0.00,0.10
wt_50_028.txt,545.43,0.29,25.03,0.03,23.44,0.01,862.25,0.24,23.44,0.03,23.44,0.01,67.81,7.60,3.05,1.81,12.19,1.82,3.71,22.10,3.05,2.33,2.65,2.55,857.35,2.71,25.03,0.41,23.44,0.10,509.93,4.23,23.44,0.49,23.44,0.10
wt_50_029.txt,9600.00,0.37,0.00,0.01,0.00,0.01,4480.81,0.31,0.00,0.01,0.00,0.01,128.28,7.46,0.00,1.23,0.00,1.19,128.28,18.54,0.00,1.28,0.00,1.28,15200.00,2.20,0.00,0.21,0.00,0.20,4193.94,5.00,0.00,0.18,0.00,0.18
wt_50_030.txt,7354.55,0.16,0.00,0.01,0.00,0.01,60163.64,0.13,0.00,0.01,0.00,0.01,331.82,5.17,0.00,0.59,0.00,0.59,0.00,8.04,0.00,0.60,0.00,0.58,26627.27,1.16,0.00,0.19,0.00,0.10,13131.82,8.31,0.00,0.10,0.00,0.10
wt_50_031.txt,296.05,0.59,117.61,0.44,132.38,0.05,277.45,0.40,57.94,0.40,132.38,0.04,0.82,17.39,1.99,19.24,0.82,12.36,0.00,95.05,0.00,57.97,0.82,42.32,39.89,4.81,111.05,2.13,132.38,0.47,242.78,12.07,59.52,6.20,132.38,0.73
wt_50_032.txt,335.50,0.32,52.74,0.29,62.34,0.05,552.86,0.38,22.64,0.28,62.34,0.05,2.93,15.99,2.10,12.56,1.30,13.34,10.43,62.70,10.43,35.16,2.16,14.85,118.15,3.04,52.74,1.85,62.34,0.62,221.04,7.19,22.64,5.02,62.34,0.87
wt_50_033.txt,356.68,0.64,76.17,0.10,78.84,0.09,458.39,0.45,76.17,0.10,78.84,0.07,4.07,15.81,3.72,5.86,0.00,6.46,7.25,48.96,4.07,27.81,4.07,28.14,155.93,3.09,76.17,0.65,78.84,0.75,224.15,8.92,76.17,1.60,78.84,1.22
wt_50_034.txt,363.46,0.50,95.89,0.23,98.03,0.04,561.41,0.39,58.68,0.20,98.03,0.04,8.44,13.80,8.44,8.46,7.57,5.85,0.00,55.96,0.20,32.52,0.00,11.54,143.39,2.82,95.89,1.14,95.89,0.73,195.92,8.74,58.68,3.40,95.89,0.94
wt_50_035.txt,464.64,0.74,34.43,0.38,20.36,0.06,464.22,0.37,6.87,0.32,20.36,0.05,12.20,16.30,3.13,10.70,3.17,9.42,3.33,75.00,2.24,59.25,3.17,14.40,164.58,3.16,5.14,3.47,9.24,0.85,149.51,9.92,6.84,5.13,9.24,1.01
wt_50_036.txt,109.89,0.92,45.33,0.99,50.78,0.18,94.57,0.86,37.17,0.82,50.78,0.15,3.55,23.65,0.65,22.43,1.26,15.76,6.05,136.90,6.43,104.68,6.43,63.68,70.08,6.19,55.25,4.64,47.59,2.25,62.31,11.59,37.17,11.00,47.59,3.28
wt_50_037.txt,86.01,1.37,56.93,0.74,46.09,0.17,135.92,0.96,27.16,0.58,46.09,0.15,3.37,24.25,0.19,15.77,0.19,9.94,8.02,100.17,8.02,85.18,3.37,47.46,74.49,5.31,78.35,3.30,45.42,1.33,52.83,12.11,27.16,8.09,45.42,2.61
wt_50_038.txt,196.11,0.83,52.71,0.70,57.58,0.17,187.13,0.95,28.41,0.61,57.58,0.15,0.63,24.04,0.63,16.93,6.75,13.65,0.33,106.18,0.82,85.98,0.82,70.85,67.12,7.22,42.92,5.76,52.31,1.69,55.49,15.73,28.41,8.57,52.31,2.77
wt_50_039.txt,128.49,0.71,42.79,1.27,60.43,0.20,114.17,0.63,39.02,0.96,60.34,0.16,0.90,25.36,0.57,23.62,0.17,19.08,1.95,131.30,2.38,141.36,2.38,103.89,50.05,6.83,40.85,5.21,53.32,2.19,52.92,13.91,39.02,12.48,52.90,4.01
wt_50_040.txt,294.83,1.30,49.35,0.83,62.12,0.16,190.38,0.93,40.97,0.65,62.12,0.14,0.55,26.23,6.41,21.65,0.83,19.03,0.00,109.70,4.09,103.38,1.18,70.06,118.88,5.47,71.14,4.10,62.12,1.36,60.66,14.13,40.97,9.20,62.12,2.22
wt_50_041.txt,51.31,1.81,35.54,1.99,32.79,0.43,44.43,1.57,0.43,1.42,30.39,0.39,0.00,40.24,2.49,35.45,0.56,30.63,0.73,205.68,0.73,233.09,0.73,155.50,27.85,7.44,28.67,10.33,26.43,4.67,11.16,21.09,0.43,17.66,15.65,8.68
wt_50_042.txt,50.45,2.49,17.33,2.17,19.78,0.58,42.74,1.36,0.21,1.35,19.68,0.39,0.36,42.98,0.07,32.17,0.30,35.21,0.86,215.95,0.03,254.70,0.03,189.51,1.73,9.17,5.11,11.69,13.50,3.45,4.16,17.44,0.21,14.40,14.45,6.77
wt_50_043.txt,33.19,2.16,18.75,1.73,24.63,0.48,47.53,1.12,0.00,1.17,24.63,0.41,0.37,38.37,0.33,37.66,0.36,33.13,0.00,234.03,0.00,227.57,0.00,127.25,16.39,6.29,8.96,7.32,22.41,3.33,11.41,21.34,0.61,15.01,22.41,5.85
wt_50_044.txt,30.83,1.77,5.83,1.71,10.08,0.54,7.04,1.71,0.30,1.11,10.08,0.40,0.08,36.95,0.33,38.34,0.58,25.42,0.81,185.22,0.81,209.44,0.34,124.94,4.67,8.33,5.77,5.99,7.11,5.57,2.43,18.59,0.30,14.32,4.80,7.94
wt_50_045.txt,38.35,2.06,20.42,1.75,22.77,0.40,49.41,1.11,0.42,1.23,22.77,0.29,0.00,40.49,0.15,34.82,1.29,32.61,0.16,237.79,0.16,229.01,0.16,212.72,17.34,7.67,7.28,6.21,20.62,3.60,1.16,17.22,0.53,15.54,13.24,7.28
wt_50_046.txt,6.16,3.13,8.72,2.54,1.90,0.80,0.32,1.66,0.00,1.41,1.90,0.53,0.00,42.06,0.00,31.70,0.01,26.09,0.00,300.97,0.00,347.65,0.00,146.50,0.04,5.69,0.06,6.64,1.90,5.74,0.06,18.09,0.00,16.43,1.90,7.72
wt_50_047.txt,1.35,2.59,1.09,2.56,2.62,0.81,0.25,1.66,0.00,1.49,2.62,0.61,0.03,31.06,0.00,31.37,0.00,24.36,0.00,251.05,0.00,267.22,0.00,167.74,0.00,5.97,0.00,5.77,2.03,4.21,0.16,20.28,0.00,17.18,0.88,9.23
wt_50_048.txt,12.19,2.60,0.27,2.48,3.69,0.88,4.15,1.14,0.01,1.24,3.69,0.58,0.00,37.55,0.00,36.74,0.12,29.66,0.01,304.81,0.01,292.95,0.00,208.21,0.29,6.24,2.42,6.44,0.77,7.00,0.38,16.23,0.01,15.23,0.61,10.32
wt_50_049.txt,12.53,2.33,1.93,2.51,7.31,0.88,5.64,1.24,0.00,1.29,7.31,0.63,0.05,34.79,0.05,34.06,0.00,32.66,0.00,292.02,0.00,263.34,0.00,190.14,0.03,7.77,0.83,9.76,0.72,6.55,0.50,17.07,0.00,15.73,1.69,11.71
wt_50_050.txt,2.48,2.90,0.86,2.51,3.40,1.39,0.48,1.56,0.00,1.28,3.40,0.86,0.00,33.36,0.00,38.28,0.00,32.16,0.08,267.07,0.08,291.08,0.08,254.52,0.00,6.24,0.00,6.99,0.00,8.50,0.00,18.55,0.00,15.64,0.01,13.55
wt_50_051.txt,(16961),0.31,(0),0.01,(0),0.01,(14299),0.25,(0),0.01,(0),0.01,(0),7.18,(0),0.62,(0),0.59,(0),21.03,(0),0.63,(0),0.63,(3641),1.99,(0),0.10,(0),0.10,(1940),11.01,(0),0.10,(0),0.10
wt_50_052.txt,(10076),0.28,(0),0.01,(0),0.01,(4466),0.30,(0),0.01,(0),0.01,(0),6.50,(0),0.63,(0),0.64,(0),13.34,(0),0.63,(0),0.63,(1527),2.00,(0),0.10,(0),0.10,(1286),6.77,(0),0.10,(0),0.10
wt_50_053.txt,(1062),0.14,(0),0.01,(0),0.01,(20752),0.21,(0),0.01,(0),0.01,(0),6.51,(0),0.64,(0),0.63,(0),9.39,(0),0.64,(0),0.64,(1118),1.15,(0),0.10,(0),0.10,(963),5.12,(0),0.11,(0),0.10
wt_50_054.txt,(8659),0.27,(0),0.01,(0),0.01,(7340),0.31,(0),0.01,(0),0.01,(0),9.93,(0),0.63,(0),0.63,(0),10.43,(0),0.63,(0),0.64,(4246),1.89,(0),0.10,(0),0.10,(6489),4.02,(0),0.10,(0),0.10
wt_50_055.txt,(5038),0.24,(0),0.01,(0),0.01,(6225),0.20,(0),0.01,(0),0.01,(0),8.49,(0),0.64,(0),0.63,(0),11.38,(0),0.64,(0),0.64,(6231),2.46,(0),0.11,(0),0.11,(5422),7.48,(0),0.10,(0),0.10
wt_50_056.txt,757.31,0.60,125.12,0.06,125.12,0.09,717.41,1.09,27.66,0.06,27.66,0.10,5.33,12.43,4.77,4.44,5.33,2.58,0.00,49.20,0.00,15.87,4.77,7.76,579.09,3.15,125.12,0.86,125.12,0.75,61.13,7.57,27.66,1.10,27.66,1.77
