filename,d(ebr),t(ebr),d(ebe),t(ebe),d(ebm),t(ebm),d(efr),t(efr),d(efe),t(efe),d(efm),t(efm),d(sbr),t(sbr),d(sbe),t(sbe),d(sbm),t(sbm),d(sfr),t(sfr),d(sfe),t(sfe),d(sfm),t(sfm),d(ibr),t(ibr),d(ibe),t(ibe),d(ibm),t(ibm),d(ifr),t(ifr),d(ife),t(ife),d(ifm),t(ifm)
wt_40_067.txt,66.71,0.45,11.87,0.65,13.18,0.14,102.39,0.34,0.00,0.43,13.18,0.11,0.19,14.16,0.18,14.31,0.13,12.61,0.31,82.55,0.52,60.33,0.36,49.06,5.54,4.03,5.09,3.04,4.15,2.75,0.96,6.62,0.00,4.40,2.25,2.47
wt_40_068.txt,51.45,0.99,20.71,0.84,24.76,0.29,76.41,0.48,0.24,0.66,24.76,0.22,0.00,14.02,0.00,18.25,0.19,12.47,0.00,77.75,0.00,70.05,0.00,56.86,0.30,3.68,1.97,4.58,1.03,2.41,0.88,6.54,0.24,6.76,1.10,4.78
wt_40_069.txt,23.95,0.94,9.65,1.04,19.95,0.14,13.88,0.71,0.07,0.66,19.95,0.11,0.20,16.56,0.53,15.37,0.32,7.76,0.07,62.68,0.07,80.35,0.49,40.23,11.84,3.41,3.47,6.07,13.02,2.44,7.96,5.76,0.07,6.84,10.30,2.41
wt_40_070.txt,86.50,1.14,19.93,0.82,28.38,0.27,50.33,0.68,0.07,0.66,28.38,0.20,0.03,13.50,0.85,15.94,1.33,13.79,0.02,82.44,0.02,87.14,0.02,63.23,0.44,4.33,5.07,4.32,11.56,2.56,1.76,7.67,0.03,6.03,6.57,3.95
wt_40_071.txt,7.97,1.02,0.24,1.29,5.13,0.42,9.92,0.80,0.00,0.79,5.13,0.26,0.00,14.87,0.00,16.20,0.00,13.74,0.35,104.12,0.35,99.55,0.00,65.03,0.12,2.58,0.05,3.31,1.31,3.69,0.07,6.85,0.00,6.75,0.53,3.84
wt_40_072.txt,6.65,1.42,0.94,1.46,5.97,0.38,9.19,0.72,0.09,0.80,5.97,0.27,0.00,13.11,0.03,17.15,0.22,11.01,0.00,94.95,0.00,99.77,0.00,54.79,0.48,3.22,0.02,5.30,0.27,4.10,0.46,7.70,0.09,7.47,0.29,4.34
wt_40_073.txt,19.15,1.64,1.59,1.12,7.63,0.43,16.03,0.62,0.00,0.65,7.63,0.31,0.00,13.77,0.00,14.62,0.04,11.76,0.04,88.61,0.04,88.68,0.04,60.31,2.68,3.47,3.30,4.15,2.46,2.87,0.00,7.37,0.00,5.99,1.62,4.36
wt_40_074.txt,26.99,1.12,1.67,1.51,3.65,0.23,18.87,0.93,0.01,0.83,3.65,0.16,0.17,14.19,0.00,17.43,0.16,13.82,0.44,103.47,0.44,110.01,0.00,35.62,4.85,3.15,0.30,4.26,2.70,2.42,1.53,8.75,0.01,7.63,2.77,2.45
wt_40_075.txt,21.19,1.05,0.26,1.23,15.54,0.62,18.64,0.82,0.11,0.69,12.44,0.49,0.26,14.91,0.00,16.22,0.00,15.45,0.26,109.24,0.26,91.80,0.26,86.44,0.33,3.63,0.11,3.15,0.11,3.68,0.50,6.91,0.11,6.44,0.90,6.02
wt_40_076.txt,(846),0.12,(0),0.00,(0),0.00,(1540),0.12,(0),0.00,(0),0.00,(0),2.28,(0),0.31,(0),0.33,(0),8.53,(0),0.31,(0),0.30,(2122),0.87,(0),0.06,(0),0.06,(1467),3.26,(0),0.06,(0),0.06
wt_40_077.txt,(1515),0.24,(0),0.00,(0),0.00,(5324),0.19,(0),0.00,(0),0.00,(0),2.82,(0),0.34,(0),0.34,(0),6.12,(0),0.34,(0),0.34,(1084),0.68,(0),0.07,(0),0.07,(734),3.25,(0),0.07,(0),0.07
wt_40_078.txt,(3143),0.19,(0),0.00,(0),0.00,(0),0.15,(0),0.00,(0),0.00,(0),1.37,(0),0.32,(0),0.34,(0),2.14,(0),0.34,(0),0.34,(100),1.21,(0),0.07,(0),0.07,(1170),1.83,(0),0.06,(0),0.06
wt_40_079.txt,(10441),0.37,(0),0.00,(0),0.00,(5153),0.21,(0),0.00,(0),0.00,(0),3.25,(0),0.31,(0),0.31,(0),8.25,(0),0.32,(0),0.31,(403),1.42,(0),0.06,(0),0.06,(1557),4.22,(0),0.07,(0),0.07
wt_40_080.txt,(11391),0.29,(0),0.01,(0),0.00,(16466),0.17,(0),0.00,(0),0.00,(0),4.95,(0),0.34,(0),0.34,(0),10.11,(0),0.34,(0),0.34,(4727),1.55,(0),0.07,(0),0.06,(4153),3.64,(0),0.07,(0),0.07
wt_40_081.txt,2572.08,0.37,68.42,0.01,68.42,0.00,2238.45,0.27,0.00,0.02,68.42,0.01,57.89,10.04,5.26,0.70,0.00,0.69,113.01,15.21,32.89,1.41,32.89,1.02,336.99,2.64,68.42,0.20,68.42,0.07,690.79,5.14,0.00,0.23,68.42,0.06
wt_40_082.txt,6690.70,0.40,0.00,0.00,0.00,0.01,13840.12,0.16,0.00,0.00,0.00,0.01,52.33,10.17,0.00,0.32,0.00,0.61,0.00,23.13,0.00,0.34,0.00,1.36,4914.53,1.92,0.00,0.07,0.00,0.13,4587.79,6.67,0.00,0.07,0.00,0.13
wt_40_083.txt,3099.37,0.24,22.18,0.02,0.00,0.00,4310.65,0.20,0.00,0.02,0.00,0.00,65.16,6.34,0.00,0.70,0.00,0.32,9.77,13.39,9.77,1.80,0.00,0.34,354.14,2.14,0.00,0.26,0.00,0.07,377.19,6.23,0.00,0.25,0.00,0.07
wt_40_084.txt,6696.27,0.57,41.65,0.01,41.65,0.01,5950.41,0.40,41.65,0.01,41.65,0.01,140.36,6.59,5.83,1.65,41.65,0.68,139.38,15.71,0.00,1.62,41.65,0.69,1376.82,3.19,41.65,0.13,41.65,0.13,625.45,5.40,41.65,0.11,41.65,0.11
wt_40_085.txt,1257.47,0.54,93.04,0.08,14.56,0.02,1503.09,0.24,4.64,0.06,4.64,0.02,45.62,7.80,20.10,2.08,9.41,0.70,5.41,30.94,5.67,12.17,9.41,1.28,708.25,1.70,44.33,0.81,14.56,0.25,716.62,5.41,4.64,0.78,4.64,0.22
wt_40_086.txt,394.59,0.71,94.51,0.23,113.39,0.06,468.58,0.50,77.51,0.22,113.39,0.05,0.76,13.23,5.92,7.76,1.02,6.91,2.23,44.33,2.23,27.76,2.10,26.83,120.46,3.34,79.22,1.84,99.96,0.96,82.94,7.72,77.51,2.69,99.51,1.15
wt_40_087.txt,229.14,0.80,61.71,0.35,77.37,0.05,155.95,0.68,2.70,0.35,77.37,0.05,1.56,11.30,3.74,12.26,1.14,5.42,2.49,64.63,0.51,51.00,0.51,33.72,2.18,3.55,5.70,4.25,21.74,1.97,1.19,7.91,2.70,3.46,23.23,2.30
wt_40_088.txt,387.80,0.78,75.48,0.37,138.82,0.09,330.05,0.53,57.80,0.27,138.52,0.07,1.81,14.30,2.45,8.63,0.87,6.87,9.91,46.81,11.00,43.60,11.00,29.03,67.32,3.65,75.48,2.55,85.77,2.21,54.64,6.64,57.80,3.03,98.73,1.62
wt_40_089.txt,207.89,0.66,20.83,0.55,74.88,0.06,173.03,0.35,1.30,0.37,75.43,0.05,0.88,16.02,4.92,15.72,3.08,8.60,0.51,50.34,0.68,49.12,1.55,33.50,23.87,3.62,15.18,3.57,39.94,1.84,7.82,7.48,1.30,3.55,39.26,2.05
wt_40_090.txt,377.41,0.32,130.67,0.47,240.64,0.06,491.60,0.19,74.80,0.37,240.64,0.05,12.27,12.71,2.18,8.80,3.21,6.01,9.40,41.35,6.45,39.92,9.40,34.14,211.34,2.41,109.58,2.34,226.73,0.81,129.91,6.11,74.05,3.79,226.73,0.85
wt_40_091.txt,61.79,0.77,56.37,0.67,27.23,0.09,89.36,0.68,0.00,0.58,26.54,0.08,0.06,15.92,0.99,18.26,0.16,10.95,1.65,59.65,0.79,57.48,0.39,28.96,11.79,4.91,30.00,3.92,27.23,1.03,7.59,6.40,0.00,5.47,26.54,0.97
wt_40_092.txt,47.34,0.86,9.99,0.94,22.30,0.12,64.11,0.77,1.95,0.55,22.30,0.10,0.06,18.38,0.20,19.90,0.40,9.42,0.39,63.18,0.39,70.08,0.51,37.27,3.61,3.91,6.36,3.62,13.71,2.43,5.96,8.95,1.95,4.99,13.71,2.33
wt_40_093.txt,88.13,0.70,21.09,0.86,15.52,0.22,24.09,0.78,1.15,0.61,15.52,0.13,0.52,16.43,0.50,16.91,0.45,14.21,0.74,63.44,0.74,70.47,0.05,35.16,1.78,3.80,13.34,3.24,7.27,2.35,1.25,7.41,1.09,5.61,5.21,2.38
wt_40_094.txt,22.92,0.80,15.30,1.06,24.87,0.19,26.38,0.64,0.91,0.66,24.75,0.15,0.12,19.04,0.18,16.67,2.23,12.70,0.90,59.59,0.90,71.88,0.90,54.34,26.54,3.71,14.87,4.01,19.20,1.58,5.93,7.21,1.93,5.89,17.32,1.87
wt_40_095.txt,60.88,0.72,11.19,0.59,19.55,0.16,41.10,0.67,0.06,0.52,19.90,0.10,0.10,13.32,0.60,14.29,0.98,10.82,0.55,60.15,0.32,57.00,0.32,35.29,15.11,2.82,10.96,2.17,18.26,1.40,9.82,6.47,1.28,5.14,18.57,1.41
wt_40_096.txt,7.39,1.47,6.90,1.30,9.30,0.42,23.67,0.57,0.00,0.80,9.30,0.27,0.04,15.15,0.01,16.54,0.02,17.83,0.05,85.01,0.05,110.86,0.05,76.69,0.00,3.51,4.00,4.34,1.63,3.84,0.01,8.29,0.06,7.36,0.60,4.89
wt_40_097.txt,0.10,1.66,0.05,0.91,2.13,0.87,0.00,0.78,0.00,0.54,2.13,0.59,0.00,15.95,0.00,14.74,0.00,14.64,0.00,88.50,0.00,60.76,0.00,86.68,0.00,3.05,0.00,2.93,0.00,3.39,0.00,7.39,0.00,5.02,0.00,6.54
wt_40_098.txt,9.73,1.34,0.75,1.40,11.17,0.28,33.60,0.41,0.00,0.76,11.26,0.19,0.00,18.09,0.00,15.30,0.00,14.54,0.00,91.10,0.00,87.60,0.00,58.30,0.09,2.72,0.18,4.45,0.88,3.95,0.15,6.18,0.00,7.27,0.79,3.96
wt_40_099.txt,19.80,1.37,1.40,0.99,10.60,0.35,18.79,0.54,0.00,0.56,10.60,0.29,0.00,16.13,0.00,15.19,0.00,9.80,0.09,89.09,0.09,71.81,0.09,50.91,0.03,3.69,1.04,4.31,1.20,2.36,0.11,7.23,0.00,5.37,4.06,4.00
wt_40_100.txt,7.26,1.40,1.11,1.16,4.75,0.35,18.08,0.51,0.03,0.67,4.75,0.26,0.00,17.59,0.04,16.31,0.03,11.25,0.00,127.08,0.00,98.93,0.00,68.95,0.08,3.24,0.31,4.35,1.78,2.99,0.13,5.09,0.03,6.44,0.72,3.92
wt_40_101.txt,(2541),0.15,(0),0.00,(0),0.00,(2464),0.14,(0),0.00,(0),0.00,(0),2.65,(0),0.31,(0),0.32,(0),2.00,(0),0.30,(0),0.30,(1349),0.79,(0),0.06,(0),0.06,(1045),1.99,(0),0.06,(0),0.06
wt_40_102.txt,(5974),0.35,(0),0.00,(0),0.00,(5010),0.25,(0),0.00,(0),0.01,(0),2.64,(0),0.31,(0),0.32,(0),10.09,(0),0.34,(0),0.34,(7148),1.71,(0),0.07,(0),0.07,(1137),3.68,(0),0.07,(0),0.06
wt_40_103.txt,(5929),0.30,(0),0.00,(0),0.01,(13992),0.24,(0),0.01,(0),0.00,(4),6.00,(0),0.32,(0),0.31,(0),14.17,(0),0.34,(0),0.34,(1803),1.16,(0),0.07,(0),0.07,(2577),3.89,(0),0.07,(0),0.06
wt_40_104.txt,(3565),0.22,(0),0.00,(0),0.00,(2334),0.21,(0),0.00,(0),0.01,(0),3.14,(0),0.32,(0),0.32,(0),4.28,(0),0.31,(0),0.32,(3436),1.07,(0),0.06,(0),0.06,(3310),2.19,(0),0.06,(0),0.06
wt_40_105.txt,(1243),0.39,(0),0.00,(0),0.00,(3860),0.22,(0),0.00,(0),0.00,(0),3.88,(0),0.34,(0),0.34,(0),9.65,(0),0.34,(0),0.34,(657),1.36,(0),0.07,(0),0.07,(133),4.69,(0),0.07,(0),0.07
wt_40_106.txt,(20141),0.63,(0),0.01,(0),0.00,(16007),0.31,(0),0.00,(0),0.00,(0),6.35,(0),0.33,(0),0.31,(0),16.89,(0),0.34,(0),0.34,(6816),3.70,(0),0.07,(0),0.07,(2292),3.99,(0),0.06,(0),0.06
wt_40_107.txt,4963.57,0.54,0.00,0.02,0.00,0.02,2376.94,0.50,0.00,0.01,0.00,0.01,31.59,8.67,0.00,1.28,0.00,0.64,15.89,24.39,0.00,2.78,15.89,0.57,1219.77,2.35,0.00,0.27,0.00,0.20,604.07,7.15,0.00,0.11,0.00,0.12
wt_40_108.txt,999.19,0.39,26.27,0.05,40.40,0.01,919.83,0.30,2.92,0.04,40.40,0.01,57.54,10.85,4.62,3.28,1.49,3.65,43.65,36.05,8.02,9.52,0.00,3.21,288.22,3.19,26.27,0.61,37.72,0.25,202.18,5.42,2.92,0.46,37.72,0.08
wt_40_109.txt,(22496),0.46,(0),0.00,(0),0.00,(13795),0.19,(0),0.00,(0),0.00,(0),5.48,(0),0.30,(0),0.30,(0),13.36,(0),0.34,(0),0.34,(9822),1.51,(0),0.07,(0),0.07,(5352),5.15,(0),0.07,(0),0.07
wt_40_110.txt,(12543),0.37,(0),0.00,(0),0.00,(10122),0.22,(0),0.01,(0),0.00,(0),6.59,(0),0.34,(0),0.34,(0),11.42,(0),0.34,(0),0.34,(8136),1.80,(0),0.07,(0),0.07,(3798),5.67,(0),0.07,(0),0.08
wt_40_111.txt,77.81,0.85,24.92,0.52,45.37,0.10,133.73,0.32,2.42,0.39,45.37,0.07,1.09,16.41,1.13,14.95,1.63,9.39,0.68,39.61,0.43,51.19,0.00,23.66,29.40,3.15,17.05,3.46,35.67,1.63,19.23,7.20,3.82,3.55,35.79,1.30
wt_40_112.txt,114.40,0.75,22.53,0.30,63.50,0.07,227.34,0.21,13.46,0.21,63.27,0.05,3.71,16.27,0.97,16.86,0.71,7.51,0.32,36.91,0.32,25.63,0.32,23.72,15.93,2.68,16.80,2.59,21.78,1.69,7.88,6.08,13.45,2.24,18.88,1.76
wt_40_113.txt,129.92,0.52,19.20,0.40,11.01,0.12,102.58,0.54,0.24,0.29,8.68,0.07,0.86,16.53,2.13,19.39,0.89,6.67,0.51,46.81,0.00,38.74,0.28,14.94,19.70,3.44,12.30,3.30,8.68,1.52,0.34,8.39,0.23,2.82,6.43,0.87
wt_40_114.txt,228.09,0.84,55.67,0.51,101.57,0.07,185.92,0.53,3.00,0.33,101.57,0.04,2.36,13.71,3.48,16.57,0.60,6.69,2.71,39.99,0.00,44.85,0.58,14.98,66.25,3.46,44.45,4.44,9.56,4.42,24.19,8.21,3.00,3.38,6.79,2.71
wt_40_115.txt,421.82,0.61,20.40,0.21,46.55,0.13,402.77,0.35,18.56,0.13,46.55,0.06,9.08,12.98,0.93,10.52,0.15,8.43,4.65,31.77,3.83,24.87,0.00,12.10,27.20,3.69,20.69,2.09,29.69,1.18,20.96,6.82,19.66,1.42,20.05,0.87
wt_40_116.txt,43.81,0.76,35.16,0.52,34.90,0.07,63.88,0.61,0.50,0.42,34.90,0.06,0.04,16.60,0.91,23.45,0.64,10.61,0.21,63.04,0.25,53.22,0.29,37.09,7.08,3.99,9.48,2.77,21.89,1.99,7.51,7.00,0.50,4.23,19.25,1.84
wt_40_117.txt,28.59,1.12,17.31,0.65,45.14,0.11,106.16,0.33,0.28,0.45,45.12,0.09,0.55,15.91,0.53,15.94,1.07,9.99,0.04,45.50,0.04,62.18,0.04,40.23,27.45,3.07,19.60,2.76,42.48,0.97,24.58,6.10,0.23,4.59,42.70,1.22
wt_40_118.txt,123.53,0.96,40.03,0.56,45.27,0.10,48.74,0.68,1.44,0.51,45.27,0.05,0.89,14.97,5.56,23.77,5.35,10.46,2.44,59.64,0.33,58.78,0.33,31.05,34.38,3.44,25.90,3.54,41.35,1.10,29.27,6.34,1.44,4.78,41.35,0.65
wt_40_119.txt,43.42,1.10,1.62,0.93,18.39,0.17,34.74,0.65,0.02,0.53,18.39,0.13,0.00,14.38,0.23,15.57,0.00,13.68,0.02,74.67,0.02,81.94,0.02,45.75,2.06,3.26,0.08,4.85,5.81,1.79,0.41,8.35,0.02,4.81,2.38,3.49
wt_40_120.txt,33.24,0.95,11.01,0.61,25.86,0.16,53.44,0.57,0.23,0.42,25.64,0.10,0.00,16.07,0.35,16.19,0.20,12.84,0.19,65.83,0.11,55.94,0.19,42.04,1.12,4.56,2.50,3.52,3.05,3.16,3.17,7.52,0.23,4.03,3.09,3.53
wt_40_121.txt,11.08,0.97,3.08,1.09,2.46,0.48,24.95,0.75,0.13,0.64,5.20,0.29,0.09,15.59,0.00,16.57,0.04,11.28,0.09,91.35,0.09,76.14,0.09,61.63,1.68,3.65,1.61,3.06,1.68,2.51,0.39,7.56,0.03,5.89,1.52,4.02
wt_40_122.txt,19.80,1.08,10.36,0.93,22.80,0.18,49.28,0.48,0.05,0.67,22.80,0.13,0.04,16.23,0.04,14.91,0.16,11.43,0.13,77.87,0.13,91.47,0.13,61.31,0.36,3.38,0.00,4.93,0.06,4.62,0.71,7.10,0.05,6.77,1.04,4.28
wt_40_123.txt,24.54,1.25,3.07,0.92,23.47,0.15,13.83,0.67,0.54,0.55,23.47,0.11,0.00,14.50,0.70,14.20,0.44,13.46,0.29,69.21,0.29,87.90,0.45,43.72,3.00,3.67,1.07,3.79,7.25,2.28,1.21,5.79,0.54,5.28,3.93,2.79
wt_40_124.txt,42.02,1.27,2.62,0.90,13.46,0.33,49.24,0.48,0.53,0.58,13.46,0.22,0.09,15.00,0.00,14.24,0.44,14.54,1.85,90.95,1.85,79.97,1.85,53.74,9.48,4.14,0.17,4.44,10.97,3.18,3.98,9.44,0.53,6.21,11.02,2.74
wt_40_125.txt,24.80,1.30,6.73,1.35,7.35,0.19,40.30,0.48,0.00,0.82,7.35,0.15,0.05,15.14,0.02,19.51,0.06,8.96,0.01,77.55,0.01,90.20,0.01,47.65,4.73,3.40,4.60,3.93,3.51,2.14,0.19,7.26,0.00,7.19,4.94,2.11
